session_date,prior_rth_vah,prior_rth_val,prior_rth_poc,overnight_vah,overnight_val,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,day_classification,pre_ib_total,pre_ib_A,pre_ib_A_star,pre_ib_R,pre_ib_B,post_ib_total,post_ib_A,post_ib_A_star,post_ib_R,post_ib_B
2025-01-01,,,,21483.0,21320.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-02,,,,21268.5,21219.25,21444.0,21166.5,277.5,21348.0,21169.25,21444.0,20983.25,unknown,5,0,1,2,2,4,0,0,2,2
2025-01-03,21350.5,21071.25,21292.75,21501.0,21482.0,21440.75,21260.75,180.0,21293.75,21508.0,21559.25,21260.75,above_value,3,0,0,1,2,2,1,0,0,1
2025-01-05,21469.5,21296.75,21364.75,21761.0,21563.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-06,,,,21783.75,21728.0,21886.75,21723.75,163.0,21732.75,21750.25,21897.0,21646.5,unknown,3,1,0,1,1,9,0,0,4,5
2025-01-07,21891.5,21752.5,21866.25,21421.0,21314.5,21806.25,21524.75,281.5,21793.25,21360.0,21806.25,21279.5,below_value,3,1,0,1,1,8,1,0,3,4
2025-01-08,21615.25,21399.25,21445.5,21329.75,21281.25,21406.0,21231.25,174.75,21355.75,21357.5,21431.5,21166.0,below_value,5,0,1,2,2,9,0,0,4,5
2025-01-09,21383.0,21298.5,21343.0,21323.25,21156.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-10,,,,21024.25,20999.75,21197.25,20874.75,322.5,21193.25,21017.25,21197.25,20874.75,unknown,3,1,0,1,1,1,0,0,0,1
2025-01-12,21149.75,20961.25,21069.0,20891.75,20702.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-13,,,,21106.25,21019.0,20855.75,20701.5,154.25,20765.75,20948.0,20964.75,20701.5,unknown,1,0,0,0,1,8,1,0,3,4
2025-01-14,20877.25,20742.5,20771.75,21260.75,20908.75,21129.25,20965.75,163.5,21071.25,20921.25,21129.25,20773.25,above_value,3,1,0,1,1,6,1,0,2,3
2025-01-15,21030.75,20825.75,20992.0,21523.0,21405.5,21408.5,21186.5,222.0,21252.25,21399.75,21452.75,21186.5,above_value,3,1,0,1,1,3,0,0,1,2
