session_date,state_type,direction,failure_count_at_start,start_time,end_time,duration_bars,duration_minutes,max_extension_points,max_extension_atr,max_extension_ib,max_extension_or,max_retracement_points,acceptance_achieved,time_in_acceptance_min,terminal_outcome,phase,avg_atr_during_episode,ib_range,or_range,reference_boundary,max_extension,max_retracement,atr_at_start,extension_atr,extension_ib,failure_count
2025-01-02,balance,,0,2025-01-02 07:30:00,2025-01-02 09:25:00,24,120,0.0,0.0,0.0,0.0,0.0,False,0,B,post_ib,60.30982989128506,277.5,206.5,,0.0,0.0,60.30982989128506,0.0,0.0,0
2025-01-02,discovery,down,0,2025-01-02 09:25:00,2025-01-02 12:10:00,34,170,183.25,3.3522814797064275,0.6603603603603604,0.887409200968523,195.75,True,140,R,post_ib,54.66426405698125,277.5,206.5,21166.5,183.25,195.75,54.66426405698125,3.3522814797064275,0.6603603603603604,0
2025-01-02,balance,,0,2025-01-02 12:10:00,2025-01-02 12:15:00,2,10,0.0,0.0,0.0,0.0,0.0,False,0,B,post_ib,47.07954620901734,277.5,206.5,,0.0,0.0,47.07954620901734,0.0,0.0,0
2025-01-02,discovery,down,0,2025-01-02 12:15:00,2025-01-02 12:55:00,9,45,46.5,1.1716179471861032,0.16756756756756758,0.22518159806295399,68.25,True,15,R,post_ib,39.68870578645532,277.5,206.5,21166.5,46.5,68.25,39.68870578645532,1.1716179471861032,0.16756756756756758,0
2025-01-03,balance,,0,2025-01-03 07:30:00,2025-01-03 08:30:00,13,65,0.0,0.0,0.0,0.0,0.0,False,0,B,post_ib,48.84281685292352,180.0,154.75,,0.0,0.0,48.84281685292352,0.0,0.0,0
2025-01-03,discovery,up,0,2025-01-03 08:30:00,2025-01-03 12:55:00,54,270,118.5,5.593234656995875,0.6583333333333333,0.7657512116316639,84.5,True,245,A,post_ib,21.186309401802625,180.0,154.75,21440.75,118.5,84.5,21.186309401802625,5.593234656995875,0.6583333333333333,0
2025-01-06,balance,,0,2025-01-06 07:30:00,2025-01-06 08:25:00,12,60,0.0,0.0,0.0,0.0,0.0,False,0,B,post_ib,29.64935091954744,163.0,105.0,,0.0,0.0,29.64935091954744,0.0,0.0,0
2025-01-06,discovery,up,0,2025-01-06 08:25:00,2025-01-06 08:30:00,2,10,5.5,0.20452990012483652,0.03374233128834356,0.05238095238095238,22.5,False,0,R,post_ib,26.890933778596818,163.0,105.0,21886.75,5.5,22.5,26.890933778596818,0.20452990012483652,0.03374233128834356,0
2025-01-06,balance,,0,2025-01-06 08:30:00,2025-01-06 10:45:00,28,140,0.0,0.0,0.0,0.0,0.0,False,0,B,post_ib,25.1834121419837,163.0,105.0,,0.0,0.0,25.1834121419837,0.0,0.0,0
2025-01-06,discovery,down,0,2025-01-06 10:45:00,2025-01-06 10:50:00,2,10,16.0,0.5174152718094847,0.09815950920245399,0.1523809523809524,41.0,False,0,R,post_ib,30.92293728409952,163.0,105.0,21723.75,16.0,41.0,30.92293728409952,0.5174152718094847,0.09815950920245399,0
2025-01-06,balance,,0,2025-01-06 10:50:00,2025-01-06 10:55:00,2,10,0.0,0.0,0.0,0.0,0.0,False,0,B,post_ib,32.36334982727961,163.0,105.0,,0.0,0.0,32.36334982727961,0.0,0.0,0
2025-01-06,discovery,down,0,2025-01-06 10:55:00,2025-01-06 12:20:00,18,90,77.25,2.715445928088027,0.47392638036809814,0.7357142857142858,84.0,True,60,R,post_ib,28.44836614161288,163.0,105.0,21723.75,77.25,84.0,28.44836614161288,2.715445928088027,0.47392638036809814,0
