session_date,state_type,direction,failure_count_at_start,start_time,end_time,duration_bars,duration_minutes,max_extension_points,max_extension_atr,max_extension_ib,max_extension_or,max_retracement_points,acceptance_achieved,time_in_acceptance_min,terminal_outcome,phase,avg_atr_during_episode,ib_range,or_range,reference_boundary,max_extension,max_retracement,atr_at_start,extension_atr,extension_ib,failure_count
2025-01-02,balance,,0,2025-01-02 06:30:00,2025-01-02 06:30:00,1,5,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,43.36221982102103,277.5,206.5,,0.0,0.0,43.36221982102103,0.0,,0
2025-01-02,discovery,down,0,2025-01-02 06:30:00,2025-01-02 06:50:00,5,25,154.0,2.61793955253187,,0.7457627118644068,215.25,False,0,R,pre_ib,58.82488763006886,277.5,206.5,21320.5,154.0,215.25,58.82488763006886,2.61793955253187,,0
2025-01-02,balance,,0,2025-01-02 06:50:00,2025-01-02 07:20:00,7,35,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,63.083320877732326,277.5,206.5,,0.0,0.0,63.083320877732326,0.0,,0
2025-01-02,discovery,down,0,2025-01-02 07:20:00,2025-01-02 07:25:00,2,10,65.5,0.9520649054396259,,0.3171912832929782,63.25,False,0,A*,pre_ib,68.79783051109808,277.5,206.5,21320.5,65.5,63.25,68.79783051109808,0.9520649054396259,,0
2025-01-02,discovery,down,0,2025-01-02 07:20:00,2025-01-02 07:25:00,2,10,65.5,0.9520649054396259,0.23603603603603604,0.3171912832929782,63.25,False,0,R,post_ib,68.79783051109808,277.5,206.5,21320.5,65.5,63.25,68.79783051109808,0.9520649054396259,0.23603603603603604,0
2025-01-03,balance,,0,2025-01-03 06:30:00,2025-01-03 06:35:00,2,10,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,39.46199051271992,180.0,154.75,,0.0,0.0,39.46199051271992,0.0,,0
2025-01-03,discovery,up,0,2025-01-03 06:35:00,2025-01-03 07:15:00,9,45,103.75,1.7924976325627378,,0.6704361873990307,143.0,True,15,R,pre_ib,57.880132232960555,180.0,154.75,21337.0,103.75,143.0,57.880132232960555,1.7924976325627378,,0
2025-01-03,balance,,0,2025-01-03 07:15:00,2025-01-03 07:25:00,3,15,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,64.98037906962169,180.0,154.75,,0.0,0.0,64.98037906962169,0.0,,0
2025-01-06,balance,,0,2025-01-06 06:30:00,2025-01-06 06:30:00,1,5,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,42.05199724186024,163.0,105.0,,0.0,0.0,42.05199724186024,0.0,,0
2025-01-06,discovery,up,0,2025-01-06 06:30:00,2025-01-06 07:25:00,12,60,125.75,2.836423141928426,,1.1976190476190476,74.75,True,35,A,pre_ib,44.33400579100661,163.0,105.0,21761.0,125.75,74.75,44.33400579100661,2.836423141928426,,0
2025-01-06,discovery,up,0,2025-01-06 06:30:00,2025-01-06 07:25:00,12,60,125.75,2.836423141928426,0.7714723926380368,1.1976190476190476,74.75,True,35,R,post_ib,44.33400579100661,163.0,105.0,21761.0,125.75,74.75,44.33400579100661,2.836423141928426,0.7714723926380368,0
2025-01-07,balance,,0,2025-01-07 06:30:00,2025-01-07 07:00:00,7,35,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,39.58773165427596,281.5,111.25,,0.0,0.0,39.58773165427596,0.0,,0
2025-01-07,discovery,down,0,2025-01-07 07:00:00,2025-01-07 07:25:00,6,30,161.75,2.677802821621142,,1.4539325842696629,111.25,True,5,A,pre_ib,60.40399938860193,281.5,111.25,21686.5,161.75,111.25,60.40399938860193,2.677802821621142,,0
2025-01-07,discovery,down,0,2025-01-07 07:00:00,2025-01-07 07:25:00,6,30,161.75,2.677802821621142,0.5746003552397868,1.4539325842696629,111.25,True,5,R,post_ib,60.40399938860193,281.5,111.25,21686.5,161.75,111.25,60.40399938860193,2.677802821621142,0.5746003552397868,0
2025-01-08,balance,,0,2025-01-08 06:30:00,2025-01-08 06:35:00,2,10,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,40.44240217018855,174.75,95.0,,0.0,0.0,40.44240217018855,0.0,,0
2025-01-08,discovery,down,0,2025-01-08 06:35:00,2025-01-08 06:40:00,2,10,19.25,0.3989313056306115,,0.2026315789473684,70.25,False,0,R,pre_ib,48.25392173615084,174.75,95.0,21309.0,19.25,70.25,48.25392173615084,0.3989313056306115,,0
2025-01-08,balance,,0,2025-01-08 06:40:00,2025-01-08 07:10:00,7,35,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,60.706024437123574,174.75,95.0,,0.0,0.0,60.706024437123574,0.0,,0
2025-01-08,discovery,down,0,2025-01-08 07:10:00,2025-01-08 07:25:00,4,20,77.75,1.0729871343349342,,0.8184210526315789,95.5,False,0,A*,pre_ib,72.4612602630986,174.75,95.0,21309.0,77.75,95.5,72.4612602630986,1.0729871343349342,,0
2025-01-08,discovery,down,0,2025-01-08 07:10:00,2025-01-08 07:25:00,4,20,77.75,1.0729871343349342,0.4449213161659514,0.8184210526315789,95.5,False,0,R,post_ib,72.4612602630986,174.75,95.0,21309.0,77.75,95.5,72.4612602630986,1.0729871343349342,0.4449213161659514,0
2025-01-10,balance,,0,2025-01-10 06:30:00,2025-01-10 06:35:00,2,10,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,56.76057623560021,322.5,129.5,,0.0,0.0,56.76057623560021,0.0,,0
2025-01-10,discovery,down,0,2025-01-10 06:35:00,2025-01-10 07:25:00,11,55,282.0,4.148304049163068,,2.1776061776061777,157.5,True,30,A,pre_ib,67.97958796122823,322.5,129.5,21156.75,282.0,157.5,67.97958796122823,4.148304049163068,,0
2025-01-10,discovery,down,0,2025-01-10 06:35:00,2025-01-10 07:25:00,11,55,282.0,4.148304049163068,0.8744186046511628,2.1776061776061777,157.5,True,30,R,post_ib,67.97958796122823,322.5,129.5,21156.75,282.0,157.5,67.97958796122823,4.148304049163068,0.8744186046511628,0
2025-01-13,balance,,0,2025-01-13 06:30:00,2025-01-13 07:25:00,12,60,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,46.9859595152143,154.25,84.5,,0.0,0.0,46.9859595152143,0.0,,0
2025-01-14,balance,,0,2025-01-14 06:30:00,2025-01-14 06:30:00,1,5,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,38.544910904090784,163.5,111.25,,0.0,0.0,38.544910904090784,0.0,,0
2025-01-14,discovery,up,0,2025-01-14 06:30:00,2025-01-14 07:25:00,12,60,215.5,4.096854718939726,,1.9370786516853933,163.5,True,35,A,pre_ib,52.6013282833158,163.5,111.25,20913.75,215.5,163.5,52.6013282833158,4.096854718939726,,0
2025-01-14,discovery,up,0,2025-01-14 06:30:00,2025-01-14 07:25:00,12,60,215.5,4.096854718939726,1.3180428134556574,1.9370786516853933,163.5,True,35,R,post_ib,52.6013282833158,163.5,111.25,20913.75,215.5,163.5,52.6013282833158,4.096854718939726,1.3180428134556574,0
2025-01-15,balance,,0,2025-01-15 06:30:00,2025-01-15 06:30:00,1,5,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,37.397647562143675,222.0,121.0,,0.0,0.0,37.397647562143675,0.0,,0
2025-01-15,discovery,up,0,2025-01-15 06:30:00,2025-01-15 07:25:00,12,60,380.0,8.347247329623613,,3.1404958677685952,98.5,True,35,A,pre_ib,45.52398952543492,222.0,121.0,21028.5,380.0,98.5,45.52398952543492,8.347247329623613,,0
2025-01-15,discovery,up,0,2025-01-15 06:30:00,2025-01-15 07:25:00,12,60,380.0,8.347247329623613,1.7117117117117118,3.1404958677685952,98.5,True,35,R,post_ib,45.52398952543492,222.0,121.0,21028.5,380.0,98.5,45.52398952543492,8.347247329623613,1.7117117117117118,0
2025-01-16,balance,,0,2025-01-16 06:30:00,2025-01-16 06:35:00,2,10,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,34.97731404492271,162.0,93.5,,0.0,0.0,34.97731404492271,0.0,,0
2025-01-16,discovery,up,0,2025-01-16 06:35:00,2025-01-16 06:40:00,2,10,30.5,0.7754529482235925,,0.32620320855614976,69.0,False,0,R,pre_ib,39.33185123593817,162.0,93.5,21443.0,30.5,69.0,39.33185123593817,0.7754529482235925,,0
2025-01-16,balance,,0,2025-01-16 06:40:00,2025-01-16 07:25:00,10,50,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,47.710319619555946,162.0,93.5,,0.0,0.0,47.710319619555946,0.0,,0
2025-01-17,balance,,0,2025-01-17 06:30:00,2025-01-17 06:30:00,1,5,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,54.50983020158228,172.5,161.25,,0.0,0.0,54.50983020158228,0.0,,0
2025-01-17,discovery,up,0,2025-01-17 06:30:00,2025-01-17 07:25:00,12,60,201.0,3.7170538062997043,,1.2465116279069768,172.5,True,35,A,pre_ib,54.07508485869722,172.5,161.25,21452.5,201.0,172.5,54.07508485869722,3.7170538062997043,,0
2025-01-17,discovery,up,0,2025-01-17 06:30:00,2025-01-17 07:25:00,12,60,201.0,3.7170538062997043,1.1652173913043478,1.2465116279069768,172.5,True,35,R,post_ib,54.07508485869722,172.5,161.25,21452.5,201.0,172.5,54.07508485869722,3.7170538062997043,1.1652173913043478,0
2025-01-20,balance,,0,2025-01-20 06:30:00,2025-01-20 06:30:00,1,5,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,27.18363412361372,103.25,66.75,,0.0,0.0,27.18363412361372,0.0,,0
2025-01-20,discovery,up,0,2025-01-20 06:30:00,2025-01-20 07:25:00,12,60,152.75,5.356231374956238,,2.2883895131086143,103.25,True,35,A,pre_ib,28.518185512710048,103.25,66.75,21627.25,152.75,103.25,28.518185512710048,5.356231374956238,,0
2025-01-20,discovery,up,0,2025-01-20 06:30:00,2025-01-20 07:25:00,12,60,152.75,5.356231374956238,1.4794188861985471,2.2883895131086143,103.25,True,35,R,post_ib,28.518185512710048,103.25,66.75,21627.25,152.75,103.25,28.518185512710048,5.356231374956238,1.4794188861985471,0
2025-01-21,balance,,0,2025-01-21 06:30:00,2025-01-21 06:50:00,5,25,0.0,0.0,,0.0,0.0,False,0,B,pre_ib,36.258315258956976,193.0,129.0,,0.0,0.0,36.258315258956976,0.0,,0
