session_date,opening_window_minutes,orh,orl,or_range,prior_rth_vah,prior_rth_val,prior_rth_poc,overnight_vah,overnight_val,overnight_poc,or_vs_prior_rth,or_vs_overnight,retest_prior_rth_during_preib,price_at_ib_vs_prior_rth,ibh,ibl,ib_range
2025-01-02,15,21373.0,21166.5,206.5,,,,21268.5,21219.25,21231.75,unknown,at_vah,False,unknown,21444.0,21166.5,277.5
2025-01-03,15,21431.5,21276.75,154.75,21350.5,21071.25,21292.75,21501.0,21482.0,21492.5,at_vah,below_val,True,above_vah,21440.75,21260.75,180.0
2025-01-06,15,21828.75,21723.75,105.0,,,,21783.75,21728.0,21754.0,unknown,at_vah,False,unknown,21886.75,21723.75,163.0
2025-01-07,15,21806.25,21695.0,111.25,21891.5,21752.5,21866.25,21421.0,21314.5,21344.75,at_val,above_vah,True,below_val,21806.25,21524.75,281.5
2025-01-08,15,21384.75,21289.75,95.0,21615.25,21399.25,21445.5,21329.75,21281.25,21314.25,below_val,at_vah,True,below_val,21406.0,21231.25,174.75
2025-01-10,15,21197.25,21067.75,129.5,,,,21024.25,20999.75,21008.0,unknown,above_vah,False,unknown,21197.25,20874.75,322.5
2025-01-13,15,20786.0,20701.5,84.5,,,,21106.25,21019.0,21044.25,unknown,below_val,False,unknown,20855.75,20701.5,154.25
2025-01-14,15,21129.25,21018.0,111.25,20877.25,20742.5,20771.75,21260.75,20908.75,20945.0,above_vah,within_value,False,above_vah,21129.25,20965.75,163.5
2025-01-15,15,21307.5,21186.5,121.0,21030.75,20825.75,20992.0,21523.0,21405.5,21466.0,above_vah,below_val,False,above_vah,21408.5,21186.5,222.0
2025-01-16,15,21498.0,21404.5,93.5,21403.5,21285.0,21343.5,21491.75,21171.75,21340.5,above_vah,at_vah,True,within_value,21498.0,21336.0,162.0
2025-01-17,15,21653.5,21492.25,161.25,21425.0,21335.25,21390.5,21593.0,21578.0,21582.5,above_vah,at_vah,False,above_vah,21653.5,21481.0,172.5
2025-01-20,15,21780.0,21713.25,66.75,,,,21737.75,21594.25,21704.0,unknown,at_vah,False,unknown,21780.0,21676.75,103.25
2025-01-21,15,21718.5,21589.5,129.0,21637.5,21543.5,21617.75,21932.5,21836.75,21889.75,at_vah,below_val,True,within_value,21718.5,21525.5,193.0
2025-01-22,15,21982.0,21902.5,79.5,21711.5,21572.5,21624.0,21951.75,21862.75,21891.5,above_vah,at_vah,False,above_vah,22037.0,21902.5,134.5
2025-01-23,15,21915.75,21866.0,49.75,22061.5,21992.5,22019.5,22029.5,21990.5,22006.5,below_val,below_val,False,below_val,21918.25,21866.0,52.25
2025-01-24,15,22052.75,22000.0,52.75,21969.75,21901.75,21933.25,21910.0,21897.25,21900.75,above_vah,above_vah,False,above_vah,22078.0,21987.5,90.5
2025-01-27,15,21303.0,21108.25,194.75,,,,21338.0,21268.0,21296.25,unknown,at_val,False,unknown,21370.5,21108.25,262.25
2025-01-28,15,21319.75,21172.5,147.25,21292.0,21151.25,21205.5,21695.25,21584.0,21665.5,at_vah,below_val,True,above_vah,21481.25,21160.75,320.5
2025-01-29,15,21606.25,21498.5,107.75,21625.5,21399.5,21545.75,21702.5,21592.25,21661.25,within_value,at_val,True,within_value,21606.25,21480.5,125.75
2025-01-30,15,21668.75,21597.25,71.5,21561.0,21473.75,21524.25,21806.0,21728.75,21786.0,above_vah,below_val,True,within_value,21748.75,21522.0,226.75
2025-01-31,15,21838.25,21764.0,74.25,21650.25,21517.25,21550.5,21581.0,21554.0,21573.25,above_vah,above_vah,False,above_vah,21921.5,21764.0,157.5
2025-02-03,15,21314.75,21177.75,137.0,,,,21475.75,21329.25,21387.25,unknown,below_val,False,unknown,21363.5,21113.25,250.25
2025-02-04,15,21523.5,21405.0,118.5,21511.0,21324.25,21402.25,21572.5,21458.0,21516.25,at_vah,at_val,True,above_vah,21663.5,21405.0,258.5
2025-02-05,15,21587.75,21519.0,68.75,21680.0,21591.0,21652.0,21804.25,21746.75,21772.0,below_val,below_val,True,below_val,21609.0,21501.0,108.0
2025-02-06,15,21790.0,21738.0,52.0,21753.25,21571.5,21711.0,21881.5,21838.5,21868.0,at_vah,below_val,True,above_vah,21849.5,21738.0,111.5
2025-02-07,15,21967.75,21869.5,98.25,21823.75,21761.5,21776.5,21595.5,21581.25,21587.5,above_vah,above_vah,True,below_val,21967.75,21685.0,282.75
2025-02-10,15,21803.0,21742.25,60.75,,,,21812.5,21728.25,21759.0,unknown,within_value,False,unknown,21873.5,21742.25,131.25
2025-02-11,15,21797.0,21700.25,96.75,21881.75,21826.0,21867.75,21848.5,21566.5,21791.5,below_val,within_value,True,within_value,21845.25,21700.25,145.0
2025-02-12,15,21667.75,21535.75,132.0,21833.25,21763.75,21785.0,21877.75,21776.5,21821.5,below_val,below_val,False,below_val,21739.0,21535.75,203.25
2025-02-13,15,21951.0,21835.0,116.0,21838.25,21674.0,21791.0,22130.75,22069.0,22107.0,at_vah,below_val,True,above_vah,21996.5,21835.0,161.5
2025-02-14,15,22138.0,22088.0,50.0,22014.5,21864.5,21977.5,22212.0,22191.75,22200.25,above_vah,below_val,False,above_vah,22160.0,22088.0,72.0
2025-02-17,15,22242.0,22192.0,50.0,,,,22315.5,22262.75,22284.25,unknown,below_val,False,unknown,22242.0,22192.0,50.0
2025-02-18,15,22268.0,22211.0,57.0,22166.0,22102.75,22128.5,22281.5,22214.75,22263.0,above_vah,at_val,True,within_value,22268.0,22130.25,137.75
2025-02-19,15,22221.5,22172.75,48.75,22204.5,22148.75,22174.25,22221.25,22173.75,22182.75,at_vah,at_vah,True,within_value,22221.5,22118.0,103.5
2025-02-20,15,22227.0,22166.0,61.0,22256.25,22162.25,22235.75,22188.0,22111.75,22148.0,within_value,at_vah,True,below_val,22227.0,21950.75,276.25
2025-02-21,15,22188.0,22096.75,91.25,22109.0,22012.75,22050.25,21692.25,21671.25,21682.75,at_vah,above_vah,True,below_val,22188.0,21992.25,195.75
2025-02-24,15,21801.75,21684.0,117.75,,,,21445.0,21365.5,21431.0,unknown,above_vah,False,unknown,21801.75,21436.75,365.0
2025-02-25,15,21397.5,21311.0,86.5,21643.5,21500.0,21522.0,21326.75,21241.75,21275.75,below_val,at_vah,False,below_val,21397.5,21028.0,369.5
2025-02-26,15,21274.25,21188.5,85.75,21253.5,21071.25,21197.75,21373.75,21208.0,21321.5,at_vah,at_val,True,above_vah,21372.0,21188.5,183.5
2025-02-27,15,21381.0,21170.0,211.0,21401.0,21203.5,21371.0,20657.5,20583.75,20622.0,at_val,above_vah,True,below_val,21381.0,20896.5,484.5
2025-02-28,15,20644.75,20460.25,184.5,21210.0,20896.5,21056.5,20912.5,20888.75,20897.5,below_val,below_val,False,below_val,20759.0,20460.25,298.75
2025-03-03,15,21120.75,20942.25,178.5,,,,20582.5,20382.75,20508.0,unknown,above_vah,False,unknown,21120.75,20759.75,361.0
2025-03-04,15,20430.0,20258.5,171.5,21000.75,20709.0,20921.5,20578.0,20467.25,20547.0,below_val,below_val,False,below_val,20430.0,20075.75,354.25
2025-03-05,15,20455.75,20313.0,142.75,20407.5,20108.75,20180.0,20654.5,20375.25,20605.5,at_vah,at_val,True,within_value,20496.75,20270.25,226.5
2025-03-06,15,20319.75,20228.25,91.5,20532.0,20228.0,20385.5,20214.25,20123.0,20179.0,within_value,above_vah,True,within_value,20483.5,20228.25,255.25
2025-03-07,15,20190.75,20024.25,166.5,20343.25,20008.0,20106.5,20218.0,20186.25,20206.5,within_value,at_val,True,below_val,20242.25,20024.25,218.0
2025-03-10,15,19697.25,19617.5,79.75,,,,19565.5,19394.5,19460.25,unknown,above_vah,False,unknown,19697.25,19520.0,177.25
2025-03-11,15,19384.5,19265.25,119.25,19675.25,19455.0,19610.5,19772.0,19572.0,19702.25,below_val,below_val,True,within_value,19508.5,19265.25,243.25
2025-03-12,15,19644.0,19501.0,143.0,19502.25,19282.25,19365.75,19582.25,19426.25,19543.0,at_vah,at_vah,True,above_vah,19644.0,19395.0,249.0
2025-03-13,15,19531.5,19409.0,122.5,19698.25,19555.25,19629.0,19539.25,19387.25,19475.75,below_val,within_value,False,below_val,19531.5,19342.75,188.75
2025-03-14,15,19561.5,19467.25,94.25,19392.25,19221.0,19309.75,,,,above_vah,unknown,False,above_vah,19665.0,19467.25,197.75
2025-03-17,15,19759.5,19676.0,83.5,,,,19832.75,19532.75,19762.25,unknown,within_value,False,unknown,19759.5,19654.5,105.0
2025-03-18,15,19530.0,19466.75,63.25,19697.5,19622.5,19671.5,19814.0,19693.5,19772.25,below_val,below_val,False,below_val,19530.0,19401.0,129.0
2025-03-19,15,19866.0,19815.75,50.25,19528.5,19465.75,19483.0,20088.75,19856.5,20051.0,above_vah,at_val,False,above_vah,19883.75,19788.75,95.0
2025-03-20,15,20100.0,20022.0,78.0,19963.0,19790.0,19874.25,19800.25,19622.0,19704.5,above_vah,above_vah,False,above_vah,20105.0,20008.75,96.25
2025-03-21,15,19760.75,19694.5,66.25,19998.75,19800.75,19875.5,,,,below_val,unknown,True,below_val,19811.75,19694.5,117.25
2025-03-24,15,20352.25,20314.0,38.25,,,,20436.5,20361.75,20406.75,unknown,below_val,False,unknown,20371.0,20314.0,57.0
2025-03-25,15,20481.25,20421.75,59.5,20369.5,20328.25,20334.25,20494.5,20320.75,20460.5,above_vah,within_value,False,above_vah,20496.5,20421.75,74.75
2025-03-26,15,20296.25,20270.5,25.75,20471.75,20415.25,20443.75,20108.0,20012.25,20072.25,below_val,above_vah,False,below_val,20320.5,20253.5,67.0
2025-03-27,15,20172.0,20106.25,65.75,20203.75,20047.75,20118.75,19982.5,19845.5,19879.0,within_value,above_vah,True,within_value,20199.0,20106.25,92.75
2025-03-28,15,19660.75,19586.5,74.25,20111.75,20006.5,20062.5,,,,below_val,unknown,False,below_val,19660.75,19554.75,106.0
2025-03-31,15,19165.5,19060.25,105.25,,,,19424.5,19332.25,19360.25,unknown,below_val,False,unknown,19233.0,19060.25,172.75
2025-04-01,15,19464.5,19327.75,136.75,19362.75,19060.25,19232.75,19605.25,19453.25,19570.75,at_vah,at_val,True,above_vah,19604.0,19327.75,276.25
2025-04-02,15,19628.75,19560.75,68.0,19626.25,19466.25,19570.75,19058.75,18879.25,18990.5,at_vah,above_vah,True,above_vah,19714.0,19560.75,153.25
2025-04-03,15,18948.0,18832.5,115.5,19769.0,19569.25,19674.75,18471.0,17819.5,18141.25,below_val,above_vah,False,below_val,18948.0,18720.25,227.75
2025-04-04,15,17968.5,17833.0,135.5,18929.0,18769.0,18837.75,,,,below_val,unknown,False,below_val,18147.0,17655.25,491.75
2025-04-07,15,17691.25,17160.5,530.75,,,,18144.25,17662.5,17768.5,unknown,at_val,False,unknown,17799.0,17150.75,648.25
2025-04-08,15,18332.5,18226.0,106.5,17738.25,17353.0,17644.0,17328.75,16860.0,16945.0,above_vah,above_vah,False,above_vah,18332.5,17979.25,353.25
2025-04-09,15,17553.25,17397.5,155.75,18332.5,17534.25,18030.25,19022.25,18590.25,18826.25,at_val,below_val,True,below_val,17553.25,17214.5,338.75
2025-04-10,15,18801.25,18642.75,158.5,18898.25,17214.5,17455.25,18640.75,18376.5,18524.75,within_value,above_vah,True,within_value,18801.25,18466.75,334.5
2025-04-11,15,18506.0,18270.0,236.0,18608.25,18205.5,18468.0,,,,within_value,unknown,True,within_value,18566.0,18270.0,296.0
2025-04-14,15,19177.0,19114.0,63.0,,,,19042.0,18856.0,18988.75,unknown,above_vah,False,unknown,19193.0,18942.0,251.0
2025-04-15,15,19077.75,18966.75,111.0,19030.25,18800.5,18871.75,18731.0,18572.0,18693.5,at_vah,above_vah,True,within_value,19089.25,18966.75,122.5
2025-04-16,15,18668.75,18592.75,76.0,19039.25,18924.25,18967.5,18539.25,18382.75,18411.5,below_val,above_vah,False,below_val,18735.25,18589.5,145.75
2025-04-17,15,18356.0,18261.25,94.75,18735.25,18334.0,18581.75,,,,at_val,unknown,True,within_value,18444.0,18261.25,182.75
2025-04-21,15,17988.0,17909.25,78.75,,,,18222.75,17972.5,18100.25,unknown,at_val,False,unknown,17988.0,17857.0,131.0
2025-04-22,15,18319.5,18244.5,75.0,17888.75,17712.75,17834.25,19014.25,18624.25,18740.0,above_vah,below_val,False,above_vah,18386.0,18244.5,141.5
2025-04-23,15,19165.75,19085.0,80.75,18396.0,18255.5,18354.75,18973.75,18645.75,18846.75,above_vah,above_vah,False,above_vah,19165.75,18881.0,284.75
2025-04-24,15,19180.75,19106.75,74.0,18951.25,18788.0,18881.0,19438.25,19281.25,19408.0,above_vah,below_val,False,above_vah,19209.0,19087.5,121.5
2025-04-25,15,19362.5,19234.5,128.0,19321.0,19159.75,19243.5,,,,at_vah,unknown,True,above_vah,19393.0,19234.5,158.5
2025-04-28,15,19528.75,19446.5,82.25,,,,19580.25,19469.25,19506.25,unknown,at_val,False,unknown,19539.25,19312.0,227.25
2025-04-29,15,19582.25,19491.75,90.5,19466.5,19267.0,19318.5,19512.75,19102.25,19272.25,above_vah,at_vah,False,above_vah,19615.25,19491.75,123.5
2025-04-30,15,19355.0,19275.75,79.25,19640.5,19485.5,19564.0,19986.5,19907.0,19929.25,below_val,below_val,False,below_val,19438.5,19275.75,162.75
2025-05-01,15,20045.0,19975.0,70.0,19550.0,19346.75,19424.25,20105.25,19859.0,19934.25,above_vah,within_value,False,above_vah,20125.25,19975.0,150.25
2025-05-02,15,20181.0,20128.0,53.0,20045.75,19935.25,20015.5,,,,above_vah,unknown,False,above_vah,20194.25,20122.75,71.5
2025-05-05,15,20089.75,20009.0,80.75,,,,19909.0,19771.75,19839.0,unknown,above_vah,False,unknown,20124.25,20009.0,115.25
2025-05-06,15,19923.25,19881.0,42.25,20148.5,20070.5,20131.75,20093.5,19925.0,20001.5,below_val,below_val,False,below_val,19945.0,19881.0,64.0
2025-05-07,15,19977.75,19950.5,27.25,19947.5,19881.5,19917.0,20194.25,20055.0,20091.5,above_vah,below_val,True,below_val,19977.75,19788.5,189.25
2025-05-08,15,20117.5,20038.0,79.5,19912.0,19785.25,19829.75,20265.25,20175.75,20232.25,above_vah,below_val,False,above_vah,20205.75,19978.0,227.75
2025-05-09,15,20151.0,20057.5,93.5,20337.0,20164.25,20304.5,,,,below_val,unknown,True,below_val,20176.0,20057.5,118.5
2025-05-12,15,20795.75,20690.0,105.75,,,,21070.25,20818.25,20858.75,unknown,below_val,False,unknown,20815.75,20690.0,125.75
2025-05-13,15,21229.25,21189.0,40.25,20971.75,20789.5,20909.25,21350.5,21276.25,21338.25,above_vah,below_val,False,above_vah,21293.0,21186.5,106.5
2025-05-14,15,21358.0,21313.25,44.75,21335.5,21262.0,21321.0,21339.25,21253.75,21297.0,at_vah,at_vah,True,above_vah,21385.0,21288.25,96.75
2025-05-15,15,21308.5,21256.75,51.75,21387.5,21334.5,21366.25,21464.0,21400.25,21434.75,below_val,below_val,True,above_vah,21423.0,21256.75,166.25
2025-05-16,15,21414.5,21322.5,92.0,21474.25,21341.0,21407.75,,,,at_val,unknown,True,within_value,21414.5,21320.0,94.5
2025-05-19,15,21434.75,21381.75,53.0,,,,21459.0,21383.25,21431.75,unknown,at_val,False,unknown,21435.0,21377.0,58.0
2025-05-20,15,21447.5,21381.5,66.0,21542.75,21435.25,21494.25,21423.0,21315.5,21381.75,at_val,at_vah,True,below_val,21451.25,21381.5,69.75
2025-05-21,15,21417.25,21372.0,45.25,21452.0,21377.75,21421.5,21252.5,21136.5,21197.25,at_val,above_vah,True,above_vah,21535.5,21372.0,163.5
2025-05-22,15,21269.25,21205.0,64.25,21558.5,21227.5,21515.5,21231.5,20873.0,21169.5,at_val,at_vah,True,within_value,21269.25,21166.5,102.75
2025-05-23,15,20987.25,20933.25,54.0,21302.0,21222.5,21253.0,,,,below_val,unknown,False,below_val,20988.25,20883.75,104.5
2025-05-26,15,21269.0,21231.5,37.5,,,,21337.0,21206.75,21237.5,unknown,within_value,False,unknown,21269.0,21215.5,53.5
2025-05-27,15,21387.0,21357.75,29.25,21032.75,20918.75,20967.25,21510.25,21438.25,21467.5,above_vah,below_val,False,above_vah,21400.75,21348.25,52.5
