direction,discovery_state,outcome,count,total,probability
down,D0,A,19,241,0.07883817427385892
down,D0,R,222,241,0.921161825726141
down,D0,C,0,241,0.0
down,D1,A,0,308,0.0
down,D1,R,284,308,0.922077922077922
down,D1,C,24,308,0.07792207792207792
down,D10,A,0,51,0.0
down,D10,R,45,51,0.8823529411764706
down,D10,C,6,51,0.11764705882352941
down,D11,A,0,40,0.0
down,D11,R,37,40,0.925
down,D11,C,3,40,0.075
down,D12,A,0,33,0.0
down,D12,R,25,33,0.7575757575757576
down,D12,C,8,33,0.24242424242424243
down,D13,A,0,22,0.0
down,D13,R,18,22,0.8181818181818182
down,D13,C,4,22,0.18181818181818182
down,D14,A,0,14,0.0
down,D14,R,10,14,0.7142857142857143
down,D14,C,4,14,0.2857142857142857
down,D15,A,0,10,0.0
down,D15,R,8,10,0.8
down,D15,C,2,10,0.2
down,D16,A,0,7,0.0
down,D16,R,7,7,1.0
down,D16,C,0,7,0.0
down,D17,A,0,4,0.0
down,D17,R,4,4,1.0
down,D17,C,0,4,0.0
down,D18,A,0,3,0.0
down,D18,R,2,3,0.6666666666666666
down,D18,C,1,3,0.3333333333333333
down,D19,A,0,2,0.0
down,D19,R,1,2,0.5
down,D19,C,1,2,0.5
down,D2,A,0,290,0.0
down,D2,R,264,290,0.9103448275862069
down,D2,C,26,290,0.0896551724137931
down,D3,A,0,269,0.0
down,D3,R,251,269,0.9330855018587361
down,D3,C,18,269,0.06691449814126393
down,D4,A,0,222,0.0
down,D4,R,202,222,0.9099099099099099
down,D4,C,20,222,0.09009009009009009
down,D5,A,0,188,0.0
down,D5,R,167,188,0.8882978723404256
down,D5,C,21,188,0.11170212765957446
down,D6,A,0,155,0.0
down,D6,R,137,155,0.8838709677419355
down,D6,C,18,155,0.11612903225806452
down,D7,A,0,119,0.0
down,D7,R,109,119,0.9159663865546218
down,D7,C,10,119,0.08403361344537816
down,D8,A,0,93,0.0
down,D8,R,83,93,0.8924731182795699
down,D8,C,10,93,0.10752688172043011
down,D9,A,0,71,0.0
down,D9,R,60,71,0.8450704225352113
down,D9,C,11,71,0.15492957746478872
up,D0,A,18,244,0.07377049180327869
up,D0,R,226,244,0.9262295081967213
up,D0,C,0,244,0.0
up,D1,A,0,369,0.0
up,D1,R,325,369,0.8807588075880759
up,D1,C,44,369,0.11924119241192412
up,D10,A,0,51,0.0
up,D10,R,44,51,0.8627450980392157
up,D10,C,7,51,0.13725490196078433
up,D11,A,0,36,0.0
up,D11,R,30,36,0.8333333333333334
up,D11,C,6,36,0.16666666666666666
up,D12,A,0,27,0.0
up,D12,R,26,27,0.9629629629629629
up,D12,C,1,27,0.037037037037037035
up,D13,A,0,22,0.0
up,D13,R,20,22,0.9090909090909091
up,D13,C,2,22,0.09090909090909091
up,D14,A,0,14,0.0
up,D14,R,12,14,0.8571428571428571
up,D14,C,2,14,0.14285714285714285
up,D15,A,0,8,0.0
up,D15,R,7,8,0.875
up,D15,C,1,8,0.125
up,D16,A,0,6,0.0
up,D16,R,4,6,0.6666666666666666
up,D16,C,2,6,0.3333333333333333
up,D17,A,0,2,0.0
up,D17,R,1,2,0.5
up,D17,C,1,2,0.5
up,D18,A,0,1,0.0
up,D18,R,0,1,0.0
up,D18,C,1,1,1.0
up,D2,A,0,342,0.0
up,D2,R,306,342,0.8947368421052632
up,D2,C,36,342,0.10526315789473684
up,D3,A,0,307,0.0
up,D3,R,276,307,0.8990228013029316
up,D3,C,31,307,0.10097719869706841
up,D4,A,0,268,0.0
up,D4,R,241,268,0.8992537313432836
up,D4,C,27,268,0.10074626865671642
up,D5,A,0,221,0.0
up,D5,R,191,221,0.8642533936651584
up,D5,C,30,221,0.13574660633484162
up,D6,A,0,176,0.0
up,D6,R,156,176,0.8863636363636364
up,D6,C,20,176,0.11363636363636363
up,D7,A,0,141,0.0
up,D7,R,116,141,0.8226950354609929
up,D7,C,25,141,0.1773049645390071
up,D8,A,0,99,0.0
up,D8,R,85,99,0.8585858585858586
up,D8,C,14,99,0.1414141414141414
up,D9,A,0,72,0.0
up,D9,R,59,72,0.8194444444444444
up,D9,C,13,72,0.18055555555555555
