direction,discovery_state,A,C,R
down,D0,0.07883817427385892,0.0,0.921161825726141
down,D1,0.0,0.07792207792207792,0.922077922077922
down,D10,0.0,0.11764705882352941,0.8823529411764706
down,D11,0.0,0.075,0.925
down,D12,0.0,0.24242424242424243,0.7575757575757576
down,D13,0.0,0.18181818181818182,0.8181818181818182
down,D14,0.0,0.2857142857142857,0.7142857142857143
down,D15,0.0,0.2,0.8
down,D16,0.0,0.0,1.0
down,D17,0.0,0.0,1.0
down,D18,0.0,0.3333333333333333,0.6666666666666666
down,D19,0.0,0.5,0.5
down,D2,0.0,0.0896551724137931,0.9103448275862069
down,D3,0.0,0.06691449814126393,0.9330855018587361
down,D4,0.0,0.09009009009009009,0.9099099099099099
down,D5,0.0,0.11170212765957446,0.8882978723404256
down,D6,0.0,0.11612903225806452,0.8838709677419355
down,D7,0.0,0.08403361344537816,0.9159663865546218
down,D8,0.0,0.10752688172043011,0.8924731182795699
down,D9,0.0,0.15492957746478872,0.8450704225352113
up,D0,0.07377049180327869,0.0,0.9262295081967213
up,D1,0.0,0.11924119241192412,0.8807588075880759
up,D10,0.0,0.13725490196078433,0.8627450980392157
up,D11,0.0,0.16666666666666666,0.8333333333333334
up,D12,0.0,0.037037037037037035,0.9629629629629629
up,D13,0.0,0.09090909090909091,0.9090909090909091
up,D14,0.0,0.14285714285714285,0.8571428571428571
up,D15,0.0,0.125,0.875
up,D16,0.0,0.3333333333333333,0.6666666666666666
up,D17,0.0,0.5,0.5
up,D18,0.0,1.0,0.0
up,D2,0.0,0.10526315789473684,0.8947368421052632
up,D3,0.0,0.10097719869706841,0.8990228013029316
up,D4,0.0,0.10074626865671642,0.8992537313432836
up,D5,0.0,0.13574660633484162,0.8642533936651584
up,D6,0.0,0.11363636363636363,0.8863636363636364
up,D7,0.0,0.1773049645390071,0.8226950354609929
up,D8,0.0,0.1414141414141414,0.8585858585858586
up,D9,0.0,0.18055555555555555,0.8194444444444444
