direction,discovery_state,outcome,count,total,probability
down,D0,A,0,347,0.0
down,D0,R,347,347,1.0
down,D0,C,0,347,0.0
down,D1,A,0,168,0.0
down,D1,R,168,168,1.0
down,D1,C,0,168,0.0
down,D2,A,0,103,0.0
down,D2,R,103,103,1.0
down,D2,C,0,103,0.0
down,D3,A,0,50,0.0
down,D3,R,50,50,1.0
down,D3,C,0,50,0.0
down,D4,A,0,22,0.0
down,D4,R,22,22,1.0
down,D4,C,0,22,0.0
down,D5,A,0,7,0.0
down,D5,R,7,7,1.0
down,D5,C,0,7,0.0
down,D6,A,0,2,0.0
down,D6,R,2,2,1.0
down,D6,C,0,2,0.0
up,D0,A,0,395,0.0
up,D0,R,395,395,1.0
up,D0,C,0,395,0.0
up,D1,A,0,163,0.0
up,D1,R,163,163,1.0
up,D1,C,0,163,0.0
up,D2,A,0,90,0.0
up,D2,R,90,90,1.0
up,D2,C,0,90,0.0
up,D3,A,0,49,0.0
up,D3,R,49,49,1.0
up,D3,C,0,49,0.0
up,D4,A,0,16,0.0
up,D4,R,16,16,1.0
up,D4,C,0,16,0.0
up,D5,A,0,6,0.0
up,D5,R,6,6,1.0
up,D5,C,0,6,0.0
up,D6,A,0,2,0.0
up,D6,R,2,2,1.0
up,D6,C,0,2,0.0
