session_date,session_classification,discovery_up_attempts,discovery_down_attempts,discovery_up_acceptances,discovery_down_acceptances,discovery_up_rejections,discovery_down_rejections,max_extension_up_points,max_extension_down_points,time_in_balance_minutes,time_in_discovery_minutes,final_failure_count_up,final_failure_count_down,closing_price,prior_rth_vah,prior_rth_val,overnight_vah,overnight_val,ibh,ibl,close_vs_prior_rth,close_vs_overnight,close_vs_ib
2025-01-01,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,,21483.0,21320.5,,,unknown,unknown,unknown
2025-01-02,net_discovery_down,0,5,0,1,0,4,0.0,183.25,170,260,0,4,21169.25,,,21268.5,21219.25,21444.0,21166.5,unknown,below,within
2025-01-03,net_discovery_up,2,0,1,0,1,0,118.5,0.0,90,315,1,0,21508.0,21350.5,21071.25,21501.0,21482.0,21440.75,21260.75,above,above,above
2025-01-05,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21469.5,21296.75,21761.0,21563.25,,,unknown,unknown,unknown
2025-01-06,failed_discovery_up,3,3,1,0,2,3,125.75,77.25,245,250,2,3,21750.25,,,21783.75,21728.0,21886.75,21723.75,unknown,within,within
2025-01-07,net_discovery_down,0,6,0,2,0,4,0.0,245.25,85,375,0,4,21360.0,21891.5,21752.5,21421.0,21314.5,21806.25,21524.75,below,within,below
2025-01-08,failed_discovery_down,2,5,0,1,2,4,25.5,77.75,365,100,2,4,21357.5,21615.25,21399.25,21329.75,21281.25,21406.0,21231.25,below,above,within
2025-01-09,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21383.0,21298.5,21323.25,21156.75,,,unknown,unknown,unknown
2025-01-10,net_discovery_down,0,2,0,1,0,1,0.0,282.0,340,110,0,1,21017.25,,,21024.25,20999.75,21197.25,20874.75,unknown,within,within
2025-01-12,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21149.75,20961.25,20891.75,20702.5,,,unknown,unknown,unknown
2025-01-13,net_discovery_up,4,0,1,0,3,0,109.0,0.0,225,200,3,0,20948.0,,,21106.25,21019.0,20855.75,20701.5,unknown,below,above
2025-01-14,two_sided_discovery,2,3,1,1,1,2,215.5,192.5,110,370,1,2,20921.25,20877.25,20742.5,21260.75,20908.75,21129.25,20965.75,above,within,below
2025-01-15,net_discovery_up,3,0,1,0,2,0,380.0,0.0,255,210,2,0,21399.75,21030.75,20825.75,21523.0,21405.5,21408.5,21186.5,above,below,within
2025-01-16,failed_discovery_down,1,4,0,1,1,3,30.5,91.75,330,105,1,3,21247.75,21403.5,21285.0,21491.75,21171.75,21498.0,21336.0,below,within,below
2025-01-17,net_discovery_up,4,0,1,0,3,0,201.0,0.0,325,150,3,0,21601.0,21425.0,21335.25,21593.0,21578.0,21653.5,21481.0,above,above,within
2025-01-19,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21637.5,21543.5,21627.25,21538.0,,,unknown,unknown,unknown
2025-01-20,failed_discovery_up,2,2,1,0,1,2,152.75,53.75,145,150,1,2,21680.5,,,21737.75,21594.25,21780.0,21676.75,unknown,within,within
2025-01-21,failed_two_sided_balance,3,3,0,0,3,3,53.5,84.75,165,220,3,3,21714.5,21637.5,21543.5,21932.5,21836.75,21718.5,21525.5,above,below,within
2025-01-22,net_discovery_up,6,0,1,0,5,0,288.0,0.0,220,275,4,0,21997.25,21711.5,21572.5,21951.75,21862.75,22037.0,21902.5,above,above,within
2025-01-23,two_sided_discovery,2,2,1,1,1,1,125.75,64.5,30,440,1,1,22042.5,22061.5,21992.5,22029.5,21990.5,21918.25,21866.0,within,above,above
2025-01-24,two_sided_discovery,2,3,1,1,1,2,92.25,144.25,110,370,1,2,21908.0,21969.75,21901.75,21910.0,21897.25,22078.0,21987.5,within,within,below
2025-01-26,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,22078.0,21926.75,21616.25,21048.25,,,unknown,unknown,unknown
2025-01-27,failed_up_balance,2,0,0,0,2,0,47.5,0.0,380,30,2,0,21259.25,,,21338.0,21268.0,21370.5,21108.25,unknown,below,within
2025-01-28,net_discovery_up,4,0,2,0,2,0,153.75,0.0,140,290,2,0,21576.25,21292.0,21151.25,21695.25,21584.0,21481.25,21160.75,above,below,above
2025-01-29,failed_down_balance,0,5,0,0,0,5,0.0,112.5,325,115,0,4,21530.0,21625.5,21399.5,21702.5,21592.25,21606.25,21480.5,within,below,within
2025-01-30,failed_two_sided_balance,1,3,0,0,1,3,180.5,103.0,255,115,1,3,21621.75,21561.0,21473.75,21806.0,21728.75,21748.75,21522.0,above,below,within
2025-01-31,two_sided_discovery,6,2,1,1,5,1,221.5,227.75,165,345,4,1,21580.75,21650.25,21517.25,21581.0,21554.0,21921.5,21764.0,within,within,below
2025-02-02,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21957.5,21724.75,21270.0,21080.75,,,unknown,unknown,unknown
2025-02-03,net_discovery_up,5,0,2,0,3,0,156.5,0.0,70,360,3,0,21404.5,,,21475.75,21329.25,21363.5,21113.25,unknown,within,above
2025-02-04,net_discovery_up,8,0,2,0,6,0,158.5,0.0,320,185,4,0,21668.0,21511.0,21324.25,21572.5,21458.0,21663.5,21405.0,above,above,above
2025-02-05,failed_discovery_up,2,2,1,0,1,2,160.25,39.0,115,310,1,2,21760.5,21680.0,21591.0,21804.25,21746.75,21609.0,21501.0,above,within,above
2025-02-06,failed_discovery_up,2,1,1,0,1,1,32.5,26.25,380,35,1,1,21871.0,21753.25,21571.5,21881.5,21838.5,21849.5,21738.0,above,within,above
2025-02-07,failed_discovery_down,1,7,0,1,1,6,125.75,132.0,135,325,1,4,21588.0,21823.75,21761.5,21595.5,21581.25,21967.75,21685.0,below,within,below
2025-02-09,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21751.0,21573.5,21767.0,21664.25,,,unknown,unknown,unknown
2025-02-10,net_discovery_up,7,0,1,0,6,0,106.5,0.0,325,175,4,0,21843.25,,,21812.5,21728.25,21873.5,21742.25,unknown,above,within
2025-02-11,failed_two_sided_balance,1,1,0,0,1,1,26.0,76.5,380,30,1,1,21790.5,21881.75,21826.0,21848.5,21566.5,21845.25,21700.25,below,within,within
2025-02-12,two_sided_discovery,2,2,1,1,1,1,100.0,226.75,90,380,1,1,21801.75,21833.25,21763.75,21877.75,21776.5,21739.0,21535.75,within,within,above
2025-02-13,net_discovery_up,7,0,2,0,5,0,127.25,0.0,195,265,4,0,22110.25,21838.25,21674.0,22130.75,22069.0,21996.5,21835.0,above,within,above
2025-02-14,net_discovery_up,6,0,2,0,4,0,94.0,0.0,185,305,4,0,22194.5,22014.5,21864.5,22212.0,22191.75,22160.0,22088.0,above,within,above
2025-02-16,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,22166.0,22102.75,22273.0,22232.25,,,unknown,unknown,unknown
2025-02-17,failed_discovery_down,2,2,0,1,2,1,10.25,40.25,130,165,2,1,22235.25,,,22315.5,22262.75,22242.0,22192.0,unknown,below,within
2025-02-18,net_discovery_down,0,5,0,1,0,4,0.0,68.5,365,75,0,4,22238.5,22166.0,22102.75,22281.5,22214.75,22268.0,22130.25,above,within,within
2025-02-19,failed_discovery_up,4,2,1,0,3,2,78.25,25.5,115,270,3,2,22247.75,22204.5,22148.75,22221.25,22173.75,22221.5,22118.0,above,above,above
2025-02-20,net_discovery_down,0,2,0,1,0,1,0.0,212.75,350,90,0,1,22144.25,22256.25,22162.25,22188.0,22111.75,22227.0,21950.75,below,within,within
2025-02-21,failed_discovery_down,1,4,0,1,1,3,49.75,330.25,120,315,1,3,21683.0,22109.0,22012.75,21692.25,21671.25,22188.0,21992.25,below,within,below
2025-02-23,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,22007.5,21666.75,21790.75,21749.0,,,unknown,unknown,unknown
2025-02-24,net_discovery_down,0,2,0,1,0,1,0.0,312.25,335,120,0,1,21422.5,,,21445.0,21365.5,21801.75,21436.75,unknown,within,below
2025-02-25,net_discovery_down,0,3,0,1,0,2,0.0,330.0,345,110,0,2,21150.25,21643.5,21500.0,21326.75,21241.75,21397.5,21028.0,below,below,within
2025-02-26,failed_two_sided_balance,4,2,0,0,4,2,74.0,123.75,130,260,4,2,21193.25,21253.5,21071.25,21373.75,21208.0,21372.0,21188.5,within,below,within
2025-02-27,net_discovery_down,0,3,0,2,0,1,0.0,307.5,260,190,0,1,20611.0,21401.0,21203.5,20657.5,20583.75,21381.0,20896.5,below,within,below
2025-02-28,failed_discovery_up,3,1,1,0,2,1,185.25,264.25,270,95,2,1,20913.5,21210.0,20896.5,20912.5,20888.75,20759.0,20460.25,within,above,above
2025-03-02,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,20761.75,20580.5,21025.75,20882.75,,,unknown,unknown,unknown
2025-03-03,failed_discovery_down,1,4,0,1,1,3,95.0,442.25,235,200,1,3,20475.5,,,20582.5,20382.75,21120.75,20759.75,unknown,within,below
2025-03-04,failed_discovery_down,2,2,0,1,2,1,303.0,437.75,205,270,2,1,20391.75,21000.75,20709.0,20578.0,20467.25,20430.0,20075.75,below,below,within
2025-03-05,failed_discovery_up,5,1,1,0,4,1,228.75,55.25,215,230,4,1,20656.25,20407.5,20108.75,20654.5,20375.25,20496.75,20270.25,above,above,above
2025-03-06,failed_discovery_down,2,2,0,1,2,1,29.75,225.5,150,275,2,1,20092.0,20532.0,20228.0,20214.25,20123.0,20483.5,20228.25,below,below,below
2025-03-07,failed_two_sided_balance,2,3,0,0,2,3,44.5,258.25,250,185,2,3,20224.75,20343.25,20008.0,20218.0,20186.25,20242.25,20024.25,within,above,within
2025-03-09,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,20249.75,19972.5,20012.5,19660.75,,,unknown,unknown,unknown
2025-03-10,net_discovery_down,0,5,0,2,0,3,0.0,248.25,120,360,0,3,19472.0,,,19565.5,19394.5,19697.25,19520.0,unknown,within,below
2025-03-11,failed_two_sided_balance,3,3,0,0,3,3,179.0,132.5,280,170,3,3,19399.75,19675.25,19455.0,19772.0,19572.0,19508.5,19265.25,below,below,within
2025-03-12,failed_up_balance,4,0,0,0,4,0,83.75,0.0,270,160,4,0,19571.0,19502.25,19282.25,19582.25,19426.25,19644.0,19395.0,above,within,within
2025-03-13,net_discovery_down,0,8,0,2,0,6,0.0,177.25,95,410,0,4,19294.75,19698.25,19555.25,19539.25,19387.25,19531.5,19342.75,below,below,below
2025-03-14,net_discovery_up,7,0,2,0,5,0,174.0,0.0,180,320,4,0,19666.75,19392.25,19221.0,,,19665.0,19467.25,above,unknown,above
2025-03-16,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,19697.5,19622.5,19761.25,19554.5,,,unknown,unknown,unknown
2025-03-17,failed_discovery_up,1,1,1,0,0,1,199.75,26.0,175,230,0,1,19830.5,,,19832.75,19532.75,19759.5,19654.5,unknown,within,above
2025-03-18,failed_discovery_down,4,2,0,1,4,1,49.25,230.0,320,175,4,1,19496.75,19697.5,19622.5,19814.0,19693.5,19530.0,19401.0,below,below,within
