session_date,session_high,session_low,poc,vah,val,total_volume,prior_rth_vah,prior_rth_val,prior_rth_poc,prior_rth_high,prior_rth_low,overnight_vah,overnight_val,overnight_poc,overnight_high,overnight_low,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,normalized_volume,prior_vah,prior_val,prior_poc,prior_high,prior_low,prior_normalized_volume
2025-01-01,21490.75,21121.0,21380.25,21483.0,21320.5,509729,,,,,,21483.0,21320.5,21380.25,21490.75,21121.0,,,,,,,,0.3956691074913091,,,,,,
2025-01-02,21444.0,20983.25,21231.75,21337.0,21090.75,1752348,,,,,,21268.5,21219.25,21231.75,21303.0,21144.25,21444.0,21166.5,277.5,21348.0,21169.25,21444.0,20983.25,1.360232533707481,21483.0,21320.5,21380.25,21490.75,21121.0,0.3956691074913091
2025-01-03,21559.25,21260.75,21364.75,21472.5,21296.75,1066134,21350.5,21071.25,21292.75,21444.0,20983.25,21501.0,21482.0,21492.5,21513.75,21476.25,21440.75,21260.75,180.0,21293.75,21508.0,21559.25,21260.75,0.8275697247873661,21337.0,21090.75,21231.75,21444.0,20983.25,1.360232533707481
2025-01-05,21761.0,21478.75,21730.75,21761.0,21563.25,377474,21469.5,21296.75,21364.75,21559.25,21260.75,21761.0,21563.25,21730.75,21761.0,21478.75,,,,,,,,0.29300824689427996,21472.5,21296.75,21364.75,21559.25,21260.75,0.8275697247873661
2025-01-06,21897.0,21646.5,21776.0,21828.0,21686.5,1428805,,,,,,21783.75,21728.0,21754.0,21797.5,21659.0,21886.75,21723.75,163.0,21732.75,21750.25,21897.0,21646.5,1.1090873760941988,21761.0,21563.25,21730.75,21761.0,21478.75,0.29300824689427996
2025-01-07,21806.25,21221.25,21444.0,21553.5,21309.0,2021216,21891.5,21752.5,21866.25,21897.0,21646.5,21421.0,21314.5,21344.75,21448.25,21221.25,21806.25,21524.75,281.5,21793.25,21360.0,21806.25,21279.5,1.5689370837585341,21828.0,21686.5,21776.0,21897.0,21646.5,1.1090873760941988
2025-01-08,21431.5,21166.0,21324.0,21370.5,21287.0,1621722,21615.25,21399.25,21445.5,21806.25,21279.5,21329.75,21281.25,21314.25,21389.5,21217.5,21406.0,21231.25,174.75,21355.75,21357.5,21431.5,21166.0,1.2588361587020178,21553.5,21309.0,21444.0,21806.25,21221.25,1.5689370837585341
2025-01-09,21372.5,21044.5,21288.75,21323.25,21156.75,583657,21383.0,21298.5,21343.0,21431.5,21166.0,21323.25,21156.75,21288.75,21372.5,21044.5,,,,,,,,0.4530545530488848,21370.5,21287.0,21324.0,21431.5,21166.0,1.2588361587020178
2025-01-10,21197.25,20874.75,21012.5,21149.75,20963.0,1567805,,,,,,21024.25,20999.75,21008.0,21035.75,20988.25,21197.25,20874.75,322.5,21193.25,21017.25,21197.25,20874.75,1.2169839367005053,21323.25,21156.75,21288.75,21372.5,21044.5,0.4530545530488848
2025-01-12,21037.0,20693.5,20815.75,20891.75,20702.5,570205,21149.75,20961.25,21069.0,21197.25,20874.75,20891.75,20702.5,20815.75,21037.0,20693.5,,,,,,,,0.44261264993179106,21149.75,20963.0,21012.5,21197.25,20874.75,1.2169839367005053
2025-01-13,21143.75,20701.5,20771.75,20913.75,20714.0,1806445,,,,,,21106.25,21019.0,21044.25,21143.75,20935.0,20855.75,20701.5,154.25,20765.75,20948.0,20964.75,20701.5,1.4022244778738073,20891.75,20702.5,20815.75,21037.0,20693.5,0.44261264993179106
2025-01-14,21329.0,20773.25,20992.0,21028.5,20809.5,1770248,20877.25,20742.5,20771.75,20964.75,20701.5,21260.75,20908.75,20945.0,21329.0,20908.75,21129.25,20965.75,163.5,21071.25,20921.25,21129.25,20773.25,1.3741271267639765,20913.75,20714.0,20771.75,21143.75,20701.5,1.4022244778738073
2025-01-15,21566.75,21186.5,21387.0,21443.0,21285.5,1544668,21030.75,20825.75,20992.0,21129.25,20773.25,21523.0,21405.5,21466.0,21566.75,21352.75,21408.5,21186.5,222.0,21252.25,21399.75,21452.75,21186.5,1.1990242048821735,21028.5,20809.5,20992.0,21329.0,20773.25,1.3741271267639765
2025-01-16,21680.0,21171.75,21390.5,21452.5,21314.0,1626658,21403.5,21285.0,21343.5,21452.75,21186.5,21491.75,21171.75,21340.5,21680.0,21171.75,21498.0,21336.0,162.0,21495.0,21247.75,21498.0,21244.25,1.262667650954915,21443.0,21285.5,21387.0,21566.75,21186.5,1.1990242048821735
2025-01-17,21672.5,21481.0,21617.75,21637.5,21544.5,1097137,21425.0,21335.25,21390.5,21498.0,21244.25,21593.0,21578.0,21582.5,21602.25,21572.0,21653.5,21481.0,172.5,21651.0,21601.0,21672.5,21481.0,0.8516353152080662,21452.5,21314.0,21390.5,21680.0,21171.75,1.262667650954915
2025-01-19,21726.5,21527.25,21566.25,21627.25,21538.0,322849,21637.5,21543.5,21617.75,21672.5,21481.0,21627.25,21538.0,21566.25,21726.5,21527.25,,,,,,,,0.25060645104449947,21637.5,21544.5,21617.75,21672.5,21481.0,0.8516353152080662
2025-01-20,21780.0,21370.25,21697.0,21744.75,21610.25,758347,,,,,,21737.75,21594.25,21704.0,21746.5,21370.25,21780.0,21676.75,103.25,21723.5,21680.5,21780.0,21623.0,0.5886549140007961,21627.25,21538.0,21566.25,21726.5,21527.25,0.25060645104449947
2025-01-21,21934.5,21525.5,21624.0,21749.0,21572.5,1289930,21637.5,21543.5,21617.75,21672.5,21481.0,21932.5,21836.75,21889.75,21934.5,21711.0,21718.5,21525.5,193.0,21712.0,21714.5,21772.0,21525.5,1.0012878447690132,21744.75,21610.25,21697.0,21780.0,21370.25,0.5886549140007961
2025-01-22,22094.0,21855.5,22019.5,22047.0,21930.5,1195843,21711.5,21572.5,21624.0,21772.0,21525.5,21951.75,21862.75,21891.5,22005.75,21855.5,22037.0,21902.5,134.5,21915.0,21997.25,22094.0,21902.5,0.9282542929865273,21749.0,21572.5,21624.0,21934.5,21525.5,1.0012878447690132
2025-01-23,22059.0,21866.0,21933.25,21985.75,21869.25,1200108,22061.5,21992.5,22019.5,22094.0,21902.5,22029.5,21990.5,22006.5,22059.0,21971.25,21918.25,21866.0,52.25,21889.0,22042.5,22044.0,21866.0,0.9315649320583683,22047.0,21930.5,22019.5,22094.0,21855.5,0.9282542929865273
2025-01-24,22078.0,21843.25,21994.5,22078.0,21918.75,975091,21969.75,21901.75,21933.25,22044.0,21866.0,21910.0,21897.25,21900.75,21918.75,21892.0,22078.0,21987.5,90.5,22044.25,21908.0,22078.0,21843.25,0.7568990300587334,21985.75,21869.25,21933.25,22059.0,21866.0,0.9315649320583683
2025-01-26,21774.0,20763.75,21529.5,21616.25,21048.25,1073415,22078.0,21926.75,21994.5,22078.0,21843.25,21616.25,21048.25,21529.5,21774.0,20763.75,,,,,,,,0.8332214863540893,22078.0,21918.75,21994.5,22078.0,21843.25,0.7568990300587334
2025-01-27,21423.25,21096.75,21301.75,21327.5,21178.0,2054538,,,,,,21338.0,21268.0,21296.25,21423.25,21218.0,21370.5,21108.25,262.25,21123.75,21259.25,21418.0,21096.75,1.594802761402587,21616.25,21048.25,21529.5,21774.0,20763.75,0.8332214863540893
2025-01-28,21697.25,21160.75,21562.25,21627.0,21362.25,1655276,21292.0,21151.25,21205.5,21418.0,21096.75,21695.25,21584.0,21665.5,21697.25,21531.0,21481.25,21160.75,320.5,21302.0,21576.25,21626.0,21160.75,1.2848819226918307,21327.5,21178.0,21301.75,21423.25,21096.75,1.594802761402587
2025-01-29,21709.5,21368.0,21524.25,21568.25,21421.5,1885539,21625.5,21399.5,21545.75,21626.0,21160.75,21702.5,21592.25,21661.25,21709.5,21393.5,21606.25,21480.5,125.75,21600.0,21530.0,21606.25,21368.0,1.4636199495615425,21627.0,21362.25,21562.25,21697.25,21160.75,1.2848819226918307
