session_date,overnight_vah,overnight_val,overnight_poc,overnight_high,overnight_low
2025-01-01,21483.0,21320.5,21380.25,21490.75,21121.0
2025-01-02,21268.5,21219.25,21231.75,21303.0,21144.25
2025-01-03,21501.0,21482.0,21492.5,21513.75,21476.25
2025-01-05,21761.0,21563.25,21730.75,21761.0,21478.75
2025-01-06,21783.75,21728.0,21754.0,21797.5,21659.0
2025-01-07,21421.0,21314.5,21344.75,21448.25,21221.25
2025-01-08,21329.75,21281.25,21314.25,21389.5,21217.5
2025-01-09,21323.25,21156.75,21288.75,21372.5,21044.5
2025-01-10,21024.25,20999.75,21008.0,21035.75,20988.25
2025-01-12,20891.75,20702.5,20815.75,21037.0,20693.5
2025-01-13,21106.25,21019.0,21044.25,21143.75,20935.0
2025-01-14,21260.75,20908.75,20945.0,21329.0,20908.75
2025-01-15,21523.0,21405.5,21466.0,21566.75,21352.75
2025-01-16,21491.75,21171.75,21340.5,21680.0,21171.75
2025-01-17,21593.0,21578.0,21582.5,21602.25,21572.0
2025-01-19,21627.25,21538.0,21566.25,21726.5,21527.25
2025-01-20,21737.75,21594.25,21704.0,21746.5,21370.25
2025-01-21,21932.5,21836.75,21889.75,21934.5,21711.0
2025-01-22,21951.75,21862.75,21891.5,22005.75,21855.5
2025-01-23,22029.5,21990.5,22006.5,22059.0,21971.25
2025-01-24,21910.0,21897.25,21900.75,21918.75,21892.0
2025-01-26,21616.25,21048.25,21529.5,21774.0,20763.75
2025-01-27,21338.0,21268.0,21296.25,21423.25,21218.0
2025-01-28,21695.25,21584.0,21665.5,21697.25,21531.0
2025-01-29,21702.5,21592.25,21661.25,21709.5,21393.5
2025-01-30,21806.0,21728.75,21786.0,21813.75,21583.5
2025-01-31,21581.0,21554.0,21573.25,21592.5,21531.5
2025-02-02,21270.0,21080.75,21207.0,21280.25,20940.25
2025-02-03,21475.75,21329.25,21387.25,21600.0,21240.75
2025-02-04,21572.5,21458.0,21516.25,21693.0,21429.0
2025-02-05,21804.25,21746.75,21772.0,21833.0,21706.0
2025-02-06,21881.5,21838.5,21868.0,21923.5,21762.25
2025-02-07,21595.5,21581.25,21587.5,21603.5,21574.25
2025-02-09,21767.0,21664.25,21698.0,21791.5,21415.0
2025-02-10,21812.5,21728.25,21759.0,21848.25,21669.5
2025-02-11,21848.5,21566.5,21791.5,21848.5,21510.0
2025-02-12,21877.75,21776.5,21821.5,21927.0,21752.75
2025-02-13,22130.75,22069.0,22107.0,22162.0,22042.5
2025-02-14,22212.0,22191.75,22200.25,22220.0,22182.0
2025-02-16,22273.0,22232.25,22246.0,22281.75,22196.0
2025-02-17,22315.5,22262.75,22284.25,22320.0,22198.5
2025-02-18,22281.5,22214.75,22263.0,22291.5,22179.0
2025-02-19,22221.25,22173.75,22182.75,22249.25,22140.5
2025-02-20,22188.0,22111.75,22148.0,22245.75,22104.25
2025-02-21,21692.25,21671.25,21682.75,21699.0,21652.25
2025-02-23,21790.75,21749.0,21771.5,21813.0,21677.75
2025-02-24,21445.0,21365.5,21431.0,21453.25,21285.5
2025-02-25,21326.75,21241.75,21275.75,21332.5,21140.0
2025-02-26,21373.75,21208.0,21321.5,21386.5,21096.25
2025-02-27,20657.5,20583.75,20622.0,20687.75,20516.5
2025-02-28,20912.5,20888.75,20897.5,20930.75,20868.25
2025-03-02,21025.75,20882.75,20943.0,21101.0,20836.5
2025-03-03,20582.5,20382.75,20508.0,20591.75,20261.5
2025-03-04,20578.0,20467.25,20547.0,20631.25,20379.25
2025-03-05,20654.5,20375.25,20605.5,20663.0,20299.25
2025-03-06,20214.25,20123.0,20179.0,20270.75,20027.0
2025-03-07,20218.0,20186.25,20206.5,20228.75,20145.0
2025-03-09,20012.5,19660.75,19891.5,20156.0,19654.25
2025-03-10,19565.5,19394.5,19460.25,19613.5,19140.0
2025-03-11,19772.0,19572.0,19702.25,19788.75,19387.0
2025-03-12,19582.25,19426.25,19543.0,19693.75,19324.0
2025-03-13,19539.25,19387.25,19475.75,19620.75,19298.25
2025-03-14,,,,,
2025-03-16,19761.25,19554.5,19601.0,19848.0,19551.0
2025-03-17,19832.75,19532.75,19762.25,19858.0,19434.25
2025-03-18,19814.0,19693.5,19772.25,19900.0,19658.75
2025-03-19,20088.75,19856.5,20051.0,20093.25,19734.5
2025-03-20,19800.25,19622.0,19704.5,19933.0,19602.5
2025-03-21,,,,,
2025-03-23,20347.5,20199.5,20267.75,20347.5,20048.0
2025-03-24,20436.5,20361.75,20406.75,20454.75,20292.0
2025-03-25,20494.5,20320.75,20460.5,20536.75,20226.0
2025-03-26,20108.0,20012.25,20072.25,20148.0,19937.75
2025-03-27,19982.5,19845.5,19879.0,20011.25,19630.75
2025-03-28,,,,,
2025-03-30,19257.0,19084.0,19211.0,19365.0,18976.75
2025-03-31,19424.5,19332.25,19360.25,19511.5,19261.25
2025-04-01,19605.25,19453.25,19570.75,19693.25,19317.0
2025-04-02,19058.75,18879.25,18990.5,19176.75,18817.5
2025-04-03,18471.0,17819.5,18141.25,18713.25,17819.5
2025-04-04,,,,,
2025-04-06,17164.25,16587.0,16767.0,18360.25,16452.5
2025-04-07,18144.25,17662.5,17768.5,18357.25,17644.0
2025-04-08,17328.75,16860.0,16945.0,17597.25,16735.0
2025-04-09,19022.25,18590.25,18826.25,19384.5,18563.5
2025-04-10,18640.75,18376.5,18524.75,18793.25,18071.75
2025-04-11,,,,,
2025-04-13,19156.25,19025.25,19082.5,19255.75,18924.75
2025-04-14,19042.0,18856.0,18988.75,19144.75,18809.75
2025-04-15,18731.0,18572.0,18693.5,18861.0,18504.5
2025-04-16,18539.25,18382.75,18411.5,18652.0,18315.5
2025-04-17,,,,,
2025-04-20,18301.75,18045.5,18103.5,18384.75,17897.75
2025-04-21,18222.75,17972.5,18100.25,18305.75,17863.75
2025-04-22,19014.25,18624.25,18740.0,19145.0,18618.25
2025-04-23,18973.75,18645.75,18846.75,19142.0,18595.0
2025-04-24,19438.25,19281.25,19408.0,19497.25,19215.25
2025-04-25,,,,,
2025-04-27,19549.0,19450.5,19496.0,19622.75,19392.0
2025-04-28,19580.25,19469.25,19506.25,19631.5,19379.25
2025-04-29,19512.75,19102.25,19272.25,19623.25,19102.25
2025-04-30,19986.5,19907.0,19929.25,20035.75,19812.0
2025-05-01,20105.25,19859.0,19934.25,20180.5,19748.25
2025-05-02,,,,,
2025-05-04,20078.75,20002.0,20058.25,20200.0,19966.25
2025-05-05,19909.0,19771.75,19839.0,20037.5,19738.25
2025-05-06,20093.5,19925.0,20001.5,20136.25,19801.25
2025-05-07,20194.25,20055.0,20091.5,20262.25,19910.25
2025-05-08,20265.25,20175.75,20232.25,20290.0,20080.5
2025-05-09,,,,,
2025-05-11,20962.5,20754.25,20802.0,20991.5,20373.75
2025-05-12,21070.25,20818.25,20858.75,21242.0,20818.25
2025-05-13,21350.5,21276.25,21338.25,21404.75,21237.0
2025-05-14,21339.25,21253.75,21297.0,21412.5,21192.25
2025-05-15,21464.0,21400.25,21434.75,21504.5,21348.75
2025-05-16,,,,,
2025-05-18,21353.75,21152.25,21203.5,21462.75,21112.25
2025-05-19,21459.0,21383.25,21431.75,21562.25,21354.0
2025-05-20,21423.0,21315.5,21381.75,21444.0,21229.5
2025-05-21,21252.5,21136.5,21197.25,21330.25,21039.25
2025-05-22,21231.5,20873.0,21169.5,21236.25,20727.5
2025-05-23,,,,,
2025-05-25,21288.25,21190.75,21273.5,21307.75,20955.25
2025-05-26,21337.0,21206.75,21237.5,21383.5,21142.0
2025-05-27,21510.25,21438.25,21467.5,21564.75,21407.0
2025-05-28,21848.25,21546.0,21792.75,21858.75,21380.25
2025-05-29,21388.0,21315.0,21350.5,21421.5,21226.0
2025-05-30,,,,,
2025-06-01,21329.5,21217.5,21307.75,21458.0,21163.0
2025-06-02,21630.5,21489.5,21521.5,21638.75,21398.25
2025-06-03,21745.0,21678.5,21703.75,21793.5,21641.0
2025-06-04,21796.75,21720.75,21751.0,21899.0,21691.75
2025-06-05,21863.5,21665.0,21817.5,21863.5,21471.0
2025-06-06,,,,,
2025-06-08,21815.5,21746.75,21807.25,21866.75,21716.5
2025-06-09,21881.5,21809.75,21858.5,21973.5,21732.0
2025-06-10,22004.5,21892.0,21972.5,22094.0,21866.25
2025-06-11,21881.25,21779.75,21835.0,21931.0,21716.5
2025-06-12,21704.75,21522.75,21651.5,21920.0,21470.5
2025-06-13,,,,,
2025-06-15,21855.25,21593.75,21685.5,21976.25,21505.0
2025-06-16,22091.75,22030.25,22048.75,22133.75,21995.75
2025-06-17,22034.25,21955.0,22006.0,22081.75,21862.75
2025-06-18,21905.5,21739.25,21848.5,21971.25,21650.25
2025-06-19,22023.5,21828.0,21901.5,22130.75,21736.0
2025-06-20,,,,,
2025-06-22,21934.25,21744.75,21871.25,22011.75,21562.0
2025-06-23,22337.25,22245.25,22301.5,22383.25,22064.5
2025-06-24,22548.25,22442.0,22490.75,22548.25,22385.0
2025-06-25,22575.0,22511.5,22564.0,22585.0,22438.0
2025-06-26,22767.0,22677.0,22734.25,22823.75,22660.0
2025-06-27,,,,,
2025-06-29,22871.5,22801.25,22821.5,22916.0,22750.0
2025-06-30,22847.5,22782.25,22797.25,22915.0,22748.5
2025-07-01,22745.75,22639.0,22713.0,22798.0,22584.75
2025-07-02,22969.25,22831.5,22858.0,23070.5,22827.0
2025-07-03,22997.0,22887.5,22922.0,23062.25,22881.25
2025-07-04,,,,,
2025-07-06,22971.0,22921.0,22942.25,23027.25,22900.25
2025-07-07,22938.5,22872.5,22916.75,22972.0,22809.5
2025-07-08,23111.25,22919.25,23084.5,23111.25,22843.25
2025-07-09,23078.0,22962.75,23033.0,23089.75,22901.0
2025-07-10,22957.5,22870.0,22891.0,23048.75,22830.75
2025-07-11,,,,,
2025-07-13,22934.25,22841.25,22862.5,22988.0,22802.25
2025-07-14,23200.0,23132.0,23167.25,23222.75,22996.25
2025-07-15,23031.5,22970.25,22985.5,23090.0,22928.5
2025-07-16,23157.5,23082.25,23118.5,23175.25,23017.0
2025-07-17,23297.75,23249.75,23277.75,23320.5,23186.75
2025-07-18,,,,,
2025-07-20,23369.25,23223.5,23290.0,23425.0,23204.5
2025-07-21,23360.75,23178.0,23305.25,23367.75,23105.0
2025-07-22,23271.5,23185.5,23237.5,23283.25,23142.5
2025-07-23,23399.5,23344.75,23358.75,23422.5,23298.5
2025-07-24,23405.25,23357.0,23372.75,23442.0,23330.25
2025-07-25,,,,,
2025-07-27,23527.75,23470.5,23514.5,23585.0,23462.5
2025-07-28,23607.0,23540.5,23586.0,23652.25,23503.0
2025-07-29,23505.0,23475.25,23483.0,23526.5,23448.25
2025-07-30,23814.75,23669.5,23795.0,23848.0,23608.25
2025-07-31,23172.5,22872.25,23112.5,23347.5,22799.25
2025-08-01,,,,,
2025-08-03,23263.75,22987.25,23065.5,23263.75,22822.0
2025-08-04,23374.0,23316.0,23343.25,23404.25,23262.0
2025-08-05,23237.0,23150.0,23168.0,23285.0,23045.25
2025-08-06,23655.75,23548.75,23610.0,23671.25,23385.25
2025-08-07,23629.0,23516.0,23544.25,23686.5,23503.25
2025-08-08,,,,,
2025-08-10,23750.75,23704.75,23735.25,23773.5,23667.75
2025-08-11,23742.75,23622.0,23641.75,23822.25,23596.0
2025-08-12,24057.75,23970.25,23993.5,24069.0,23921.0
2025-08-13,23956.5,23896.0,23927.0,23965.0,23793.25
2025-08-14,23924.25,23838.5,23905.75,23962.75,23766.0
2025-08-15,,,,,
2025-08-17,23810.0,23754.0,23768.0,23882.0,23735.0
2025-08-18,23759.0,23639.25,23684.25,23839.75,23622.75
2025-08-19,23447.5,23181.0,23416.0,23489.0,23063.25
2025-08-20,23329.0,23223.75,23303.0,23369.5,23155.25
2025-08-21,23519.25,23158.75,23248.0,23633.5,23074.25
2025-08-22,,,,,
2025-08-24,23543.75,23466.0,23493.0,23610.0,23445.0
2025-08-25,23505.0,23441.5,23471.25,23548.0,23371.25
2025-08-26,23620.5,23540.5,23598.0,23629.0,23488.5
2025-08-27,23702.5,23587.0,23619.0,23743.25,23486.75
2025-08-28,23680.25,23467.75,23656.25,23762.75,23428.0
2025-08-29,,,,,
2025-08-31,23498.0,23424.75,23480.0,23555.25,23371.5
2025-09-01,23299.5,23060.0,23233.5,23511.0,23025.0
2025-09-02,23451.75,23377.5,23433.25,23472.0,23299.75
2025-09-03,23515.5,23459.25,23469.5,23548.25,23410.0
2025-09-04,23858.0,23692.0,23783.0,23902.5,23629.25
2025-09-05,,,,,
2025-09-07,23836.0,23730.75,23776.25,23876.5,23650.5
2025-09-08,23849.25,23813.75,23826.75,23885.25,23781.0
2025-09-09,23976.75,23905.25,23945.25,24041.0,23874.0
2025-09-10,23988.0,23917.0,23954.75,24003.25,23845.0
2025-09-11,24049.5,24008.25,24028.75,24076.5,23968.75
2025-09-12,,,,,
2025-09-14,24265.5,24130.0,24248.75,24265.5,24075.5
2025-09-15,24351.25,24284.25,24303.25,24403.75,24278.75
2025-09-16,24529.75,24468.75,24519.0,24553.0,24436.25
2025-09-17,24747.5,24624.5,24674.0,24790.0,24492.5
2025-09-18,24807.25,24722.25,24782.25,24816.0,24655.0
2025-09-19,,,,,
2025-09-21,24889.0,24811.25,24848.75,24905.75,24748.5
