session_date,prior_rth_vah,prior_rth_val,prior_rth_poc,prior_rth_high,prior_rth_low
2025-01-01,,,,,
2025-01-02,,,,,
2025-01-03,21350.5,21071.25,21292.75,21444.0,20983.25
2025-01-05,21469.5,21296.75,21364.75,21559.25,21260.75
2025-01-06,,,,,
2025-01-07,21891.5,21752.5,21866.25,21897.0,21646.5
2025-01-08,21615.25,21399.25,21445.5,21806.25,21279.5
2025-01-09,21383.0,21298.5,21343.0,21431.5,21166.0
2025-01-10,,,,,
2025-01-12,21149.75,20961.25,21069.0,21197.25,20874.75
2025-01-13,,,,,
2025-01-14,20877.25,20742.5,20771.75,20964.75,20701.5
2025-01-15,21030.75,20825.75,20992.0,21129.25,20773.25
2025-01-16,21403.5,21285.0,21343.5,21452.75,21186.5
2025-01-17,21425.0,21335.25,21390.5,21498.0,21244.25
2025-01-19,21637.5,21543.5,21617.75,21672.5,21481.0
2025-01-20,,,,,
2025-01-21,21637.5,21543.5,21617.75,21672.5,21481.0
2025-01-22,21711.5,21572.5,21624.0,21772.0,21525.5
2025-01-23,22061.5,21992.5,22019.5,22094.0,21902.5
2025-01-24,21969.75,21901.75,21933.25,22044.0,21866.0
2025-01-26,22078.0,21926.75,21994.5,22078.0,21843.25
2025-01-27,,,,,
2025-01-28,21292.0,21151.25,21205.5,21418.0,21096.75
2025-01-29,21625.5,21399.5,21545.75,21626.0,21160.75
2025-01-30,21561.0,21473.75,21524.25,21606.25,21368.0
2025-01-31,21650.25,21517.25,21550.5,21748.75,21419.0
2025-02-02,21957.5,21724.75,21905.0,21965.75,21536.25
2025-02-03,,,,,
2025-02-04,21511.0,21324.25,21402.25,21520.0,21113.25
2025-02-05,21680.0,21591.0,21652.0,21694.75,21405.0
2025-02-06,21753.25,21571.5,21711.0,21769.25,21501.0
2025-02-07,21823.75,21761.5,21776.5,21882.0,21711.75
2025-02-09,21751.0,21573.5,21656.75,21967.75,21553.0
2025-02-10,,,,,
2025-02-11,21881.75,21826.0,21867.75,21893.75,21742.25
2025-02-12,21833.25,21763.75,21785.0,21871.25,21700.25
2025-02-13,21838.25,21674.0,21791.0,21839.0,21535.75
2025-02-14,22014.5,21864.5,21977.5,22123.75,21835.0
2025-02-16,22166.0,22102.75,22128.5,22224.0,22088.0
2025-02-17,,,,,
2025-02-18,22166.0,22102.75,22128.5,22224.0,22088.0
2025-02-19,22204.5,22148.75,22174.25,22268.0,22103.0
2025-02-20,22256.25,22162.25,22235.75,22299.75,22118.0
2025-02-21,22109.0,22012.75,22050.25,22227.0,21950.75
2025-02-23,22007.5,21666.75,21692.0,22188.0,21662.0
2025-02-24,,,,,
2025-02-25,21643.5,21500.0,21522.0,21801.75,21408.5
2025-02-26,21253.5,21071.25,21197.75,21397.5,20990.5
2025-02-27,21401.0,21203.5,21371.0,21409.75,21064.75
2025-02-28,21210.0,20896.5,21056.5,21381.0,20597.5
2025-03-02,20761.75,20580.5,20692.5,20944.25,20460.25
2025-03-03,,,,,
2025-03-04,21000.75,20709.0,20921.5,21120.75,20317.5
2025-03-05,20407.5,20108.75,20180.0,20733.0,20075.75
2025-03-06,20532.0,20228.0,20385.5,20725.5,20215.0
2025-03-07,20343.25,20008.0,20106.5,20513.25,20002.75
2025-03-09,20249.75,19972.5,20173.0,20286.75,19766.0
2025-03-10,,,,,
2025-03-11,19675.25,19455.0,19610.5,19702.75,19271.75
2025-03-12,19502.25,19282.25,19365.75,19687.5,19201.0
2025-03-13,19698.25,19555.25,19629.0,19727.75,19395.0
2025-03-14,19392.25,19221.0,19309.75,19531.5,19165.5
2025-03-16,19697.5,19622.5,19671.5,19742.75,19467.25
2025-03-17,,,,,
2025-03-18,19697.5,19622.5,19671.5,19742.75,19467.25
2025-03-19,19528.5,19465.75,19483.0,19579.25,19401.0
2025-03-20,19963.0,19790.0,19874.25,20142.25,19765.5
2025-03-21,19998.75,19800.75,19875.5,20105.0,19795.5
2025-03-23,19896.0,19738.75,19851.5,19977.75,19675.0
2025-03-24,,,,,
2025-03-25,20369.5,20328.25,20334.25,20409.25,20308.25
2025-03-26,20471.75,20415.25,20443.75,20524.75,20402.0
2025-03-27,20203.75,20047.75,20118.75,20320.5,20041.25
2025-03-28,20111.75,20006.5,20062.5,20199.0,19975.0
2025-03-30,19592.25,19421.5,19464.25,19660.75,19360.75
2025-03-31,,,,,
2025-04-01,19362.75,19060.25,19232.75,19489.5,19060.25
2025-04-02,19626.25,19466.25,19570.75,19643.25,19327.75
2025-04-03,19769.0,19569.25,19674.75,20045.25,19076.25
2025-04-04,18929.0,18769.0,18837.75,18988.25,18614.0
2025-04-06,17968.5,17645.0,17776.5,18147.0,17387.0
2025-04-07,,,,,
2025-04-08,17738.25,17353.0,17644.0,17821.75,17150.75
2025-04-09,18332.5,17534.25,18030.25,18332.5,16972.0
2025-04-10,18898.25,17214.5,17455.25,19388.0,17214.5
2025-04-11,18608.25,18205.5,18468.0,18801.25,17918.25
2025-04-13,18857.5,18526.75,18812.75,18873.25,18270.0
2025-04-14,,,,,
2025-04-15,19030.25,18800.5,18871.75,19193.0,18738.5
2025-04-16,19039.25,18924.25,18967.5,19090.75,18884.5
2025-04-17,18735.25,18334.0,18581.75,18735.25,18116.25
2025-04-20,18459.25,18340.0,18387.75,18526.0,18261.25
2025-04-21,,,,,
2025-04-22,17888.75,17712.75,17834.25,17988.0,17700.0
2025-04-23,18396.0,18255.5,18354.75,18513.5,18210.5
2025-04-24,18951.25,18788.0,18881.0,19165.75,18729.75
2025-04-25,19321.0,19159.75,19243.5,19417.0,19087.5
2025-04-27,19490.75,19295.75,19352.75,19590.0,19234.5
2025-04-28,,,,,
2025-04-29,19466.5,19267.0,19318.5,19579.0,19257.75
2025-04-30,19640.5,19485.5,19564.0,19692.5,19470.75
2025-05-01,19550.0,19346.75,19424.25,19878.5,19275.75
2025-05-02,20045.75,19935.25,20015.5,20125.25,19756.0
2025-05-04,20255.25,20173.75,20221.0,20277.0,20122.75
2025-05-05,,,,,
2025-05-06,20148.5,20070.5,20131.75,20191.25,20002.0
2025-05-07,19947.5,19881.5,19917.0,20027.0,19808.75
2025-05-08,19912.0,19785.25,19829.75,20055.0,19678.5
2025-05-09,20337.0,20164.25,20304.5,20337.5,19978.0
2025-05-11,20159.75,20104.0,20138.0,20187.0,20057.5
2025-05-12,,,,,
2025-05-13,20971.75,20789.5,20909.25,20996.0,20690.0
2025-05-14,21335.5,21262.0,21321.0,21347.0,21186.5
2025-05-15,21387.5,21334.5,21366.25,21419.75,21281.25
