fib_percent,entry_price,long_trades,long_wins,long_losses,long_inconclusive,long_win_rate,short_trades,short_wins,short_losses,short_inconclusive,short_win_rate,long_ev,short_ev
0.0,25856.25,2,2,0,0,100.0,2,0,2,0,0.0,2.0,-1.0
5.0,25858.01,2,2,0,0,100.0,2,0,2,0,0.0,2.0,-1.0
10.0,25859.78,3,3,0,0,100.0,3,0,3,0,0.0,2.0,-1.0
15.0,25861.54,3,3,0,0,100.0,3,0,3,0,0.0,2.0,-1.0
20.0,25863.3,3,3,0,0,100.0,3,0,3,0,0.0,2.0,-1.0
25.0,25865.06,3,3,0,0,100.0,3,0,3,0,0.0,2.0,-1.0
30.0,25866.82,3,3,0,0,100.0,3,0,3,0,0.0,2.0,-1.0
35.0,25868.59,4,4,0,0,100.0,4,0,4,0,0.0,2.0,-1.0
40.0,25870.35,4,4,0,0,100.0,4,0,4,0,0.0,2.0,-1.0
45.0,25872.11,4,2,2,0,50.0,4,0,4,0,0.0,0.5,-1.0
50.0,25873.88,5,3,2,0,60.0,5,0,5,0,0.0,0.8,-1.0
55.0,25875.64,6,4,2,0,66.67,6,0,6,0,0.0,1.0,-1.0
60.0,25877.4,6,4,2,0,66.67,6,0,6,0,0.0,1.0,-1.0
65.0,25879.16,5,4,1,0,80.0,5,0,5,0,0.0,1.4,-1.0
70.0,25880.92,5,4,1,0,80.0,5,0,5,0,0.0,1.4,-1.0
75.0,25882.69,6,5,1,0,83.33,6,0,6,0,0.0,1.5,-1.0
80.0,25884.45,6,5,1,0,83.33,6,0,6,0,0.0,1.5,-1.0
85.0,25886.21,6,5,1,0,83.33,6,0,6,0,0.0,1.5,-1.0
90.0,25887.98,6,5,1,0,83.33,6,0,6,0,0.0,1.5,-1.0
95.0,25889.74,8,7,1,0,87.5,8,0,8,0,0.0,1.625,-1.0
100.0,25891.5,8,7,1,0,87.5,8,1,7,0,12.5,1.625,-0.625
